fixture_id,t106b_original_tokens,t106b_n_original,t106b_compressed_tokens,t114_original_tokens,t114_precompression_tokens,t114_n_original,t114_compressed_tokens,t106b_output_tokens,t114_output_tokens,t106b_cap_hit,t114_cap_hit,t106b_extracted_answer,t114_extracted_answer,t106b_strict_correct,t114_strict_correct,t106b_wrong_numeric,t114_wrong_numeric,t106b_invalid,t114_invalid,t106b_label,t114_label_task95b,t114_row_cap_hit_field,t106b_prompt_hash,t114_prompt_hash,t114_precompression_prompt_hash,difference_category
gsm8k_short_test_0011,16,16,8,204,204,16,8,142,227,False,False,29,30,True,False,False,True,False,False,strict_correct,strict_wrong_numeric,False,97486aa0d281964429ad1d794b7b36314cbbc4f0afdc4123608337cdcde2f7b1,2d2f73ddd03f0b0c84a8b6cfb9a3a01c95baf606eba56023ef80eb5c9e21a1f1,ffa0dd1ed0d9707cb70efea3497844bba02e7c79c3e28e7239b8fa6f6b2da2c6,prompt_difference
gsm8k_short_test_0012,16,16,8,106,106,16,8,110,181,False,False,80,80,True,True,False,False,False,False,strict_correct,strict_correct,False,222fdb03aa88f27de6261df7fb8a05aa35684b8c3e39783c186b8e9de90c2b70,8d36b0f454381d2471e5cd9289c559526b9a5adf10b09776e3b008d8691cbcb3,fde31d90ca04d595e8840b2edaa2713ce0291a7c194f64d89cd37ed64ca1668c,prompt_difference
gsm8k_short_test_0013,16,16,8,89,89,16,8,87,94,False,False,36,36,True,True,False,False,False,False,strict_correct,strict_correct,False,b46a436ae3bb6df6eb9823eb5e6c73c1e9931409ce705fab43cff0e199df22d2,81d37f1ceeff3e9b7bb65a47f341f9a7733888cdeab7eb761be91cebd4906c61,72a09c69fa1add4d1e03c63e71b2916790519a23e2017c2d6a134daaeb160300,prompt_difference
gsm8k_short_test_0014,16,16,8,103,103,16,8,60,144,False,False,1430,1430,True,True,False,False,False,False,strict_correct,strict_correct,False,dc8dd0d25bf6a2b8e80bc76fa879deb5c6ac3f3797c5a3179d3a0fd5fc0792fd,20b7ead6a2d4eb14e5123f14185486edccedfdb29468496bf7246286e8758d54,c2b3e9aed39a7cee8bc566511e2d3dc9dabb39d5eb0afaad50b9f0d977ed4952,prompt_difference
gsm8k_short_test_0015,16,16,8,78,78,16,8,93,138,False,False,5,5,True,True,False,False,False,False,strict_correct,strict_correct,False,c36330d6f5c03fe6e2845044e5b88ad215488cf0cdebbe551700f0429c202e48,efd4f022b0494326712b4d45a4c1da1fbfb9f5755ae33887e912dcbb3e81e047,1b8742ee72c998497867fcb520adb30b07cc0c5eee7a1627ad9340e863677558,prompt_difference
gsm8k_short_test_0016,16,16,8,90,90,16,8,96,114,False,False,5,5,True,True,False,False,False,False,strict_correct,strict_correct,False,2ba515ab10d963819c8c110bbef89454432413c6c5e6bef51c6399555cfd12b4,35d87dfea11ccd29cc1416d3bfda5a1874a4d259e12ea52637eab97ed48ec7bb,a4ab94aa0a5440f2035df3813a86f1e55a0e75e55b2386c3b06089856defbe19,prompt_difference
gsm8k_short_test_0017,16,16,8,89,89,16,8,78,85,False,False,5,5,True,True,False,False,False,False,strict_correct,strict_correct,False,6424f14c85fb47e5b166a3d78e6e3f9dae5545c6efc1f4b21235456bb6346b75,79ebd1b29571a0938e70b015a380f07199fc2b3d1d66be8a1c791244683ffb5b,da79204cf839dee14279712f8028c54863a64c25e93af28896014fea54fd1d97,prompt_difference
gsm8k_short_test_0018,16,16,8,79,79,16,8,77,91,False,False,66,66,True,True,False,False,False,False,strict_correct,strict_correct,False,7e629de651e0483e9c00ba352c3873afdba091fc718f2c33a313fe4a461466b6,28736af6eaad001bb32e8f3bfa2cc7e2592750833f2e9c936753b9fe3f4491d3,32dbe430cf8e256ff230b83973669330518a482d88f54d9d771af4b12bd9f1c1,prompt_difference
gsm8k_short_test_0019,16,16,8,89,89,16,8,61,97,False,False,15,15,True,True,False,False,False,False,strict_correct,strict_correct,False,da9ecb8b1adc8a2924a7f1800e69821264850777dcc70d2741743b4a1165733b,82582d8b8fcb48d1ed62e5bb85728422b8f204287229c2b680da4481a1860ea9,4fef1fe20c5f80a2f86b232360565add3889e73f8d8a4ecff7a4e07262527c54,prompt_difference
gsm8k_short_test_0020,16,16,8,124,124,16,8,123,170,False,False,28,40,False,True,True,False,False,False,strict_wrong_numeric,strict_correct,False,3585aed573485317f67da9c66a5d13cc85a501b3c3d5843d68d0dbfa8b1a74c6,ca4d72ba98103d8ce1dc4f924fb63500a5d0529d820ea0cf1d77bcad95dd2ac4,179e914ef81b781e788859a8e27f08082c1b23ab9c2904ccdc085b3c2067dd7e,prompt_difference
gsm8k_short_test_0021,16,16,8,74,74,16,8,43,76,False,False,93,93,True,True,False,False,False,False,strict_correct,strict_correct,False,323478782bdec87fed307339cfe5fa084e67e49bb690e837ba974f96aa0dbda2,081acb5632d23531293d50197d1008306fa7ca64b0daa96b86e4e749134b3d11,a3d3875847252f18cf940095b5b19fdf46239de5aa493a1b6f2a5dfe574ee1fb,prompt_difference
gsm8k_short_test_0022,16,16,8,134,134,16,8,196,179,False,False,2000,2000,True,True,False,False,False,False,strict_correct,strict_correct,False,49df1f5690b81f91c5362aa3aff50194ab928dd22fc7473a41251095e3c99abd,d1fc59e1f8e5c4444a60e8fcc98407d55e2418483ae3978a243eb1044a22ca17,90172a4b79252cb86e2823e4103baf2d59e608a6f229a01d29c5b9c5beb4f9b6,prompt_difference
gsm8k_short_test_0023,16,16,8,96,96,16,8,81,212,False,False,1520,1520,True,True,False,False,False,False,strict_correct,strict_correct,False,500940cf1534542db987edafa366452dcd02c7d713e170d1db30d7b65c6a5f0a,8afae2b20329eb4ceb1832b24c7488b993556de90619e0438a38be3766496d73,3639e334d4cd565ecf22858390393e63a7e465f45ca523ebbcc901fc9f257449,prompt_difference
gsm8k_short_test_0024,16,16,8,104,104,16,8,127,239,False,False,11050,11050,True,True,False,False,False,False,strict_correct,strict_correct,False,d9d7d3b8a50219dc2f3babe04230b36834069aa2be09c02d3e5b9c5cef81355e,d54e9329253a3e41cf10bb85d4640fe2b633ecbdc829c193589ad119f2ae0872,8d37daac29545b28bac10fc03c1f27176d44997ac9bfb542eb36c98a83e635b4,prompt_difference
gsm8k_short_test_0025,16,16,8,124,124,16,8,119,247,False,False,90,90,True,True,False,False,False,False,strict_correct,strict_correct,False,a9f8b9a9f7dfa0c971f26204fdbdec8486b3ad1f69a7a32ac0b5ee6ffe34d89f,68fb51a8887db5bffe022947d05bd3c6d36df67ab7b5232ee0be4a65eefa49d0,79584fd86ff44b17c502bd88b1a81084daa2c7bdde9d55f76a52344d1335e726,prompt_difference
gsm8k_short_test_0026,16,16,8,109,109,16,8,140,145,False,False,40000,40000,True,True,False,False,False,False,strict_correct,strict_correct,False,aba627b960de08a8985a3fe7a90ca8312ab7bbe46c54d4aeefac2a3c7be94585,7eb9b640ede89ba4694ab898185394542d6b3ab40103dbfa410aae67e657f140,c5e35b5b98fec84971fca83d0122a1d53c618a13017614f2465b2d37c1fd33b9,prompt_difference
gsm8k_short_test_0027,16,16,8,108,108,16,8,56,97,False,False,21,21,True,True,False,False,False,False,strict_correct,strict_correct,False,271d32be6b792f3c1c1b39bbfb8c86ad8ea23c5f06ad64cd1919fc4b3b72b7c3,cde7154aafe03f44b1226cb07ad3a53e253a307658bbf5844cedd5a0a5e355de,d74d1f4a7b2ada39e0ae318e86e682a7d703a7662f0fe00028e6155c6175e25e,prompt_difference
gsm8k_short_test_0028,16,16,8,99,99,16,8,256,256,True,True,18,3,False,False,False,True,False,False,cap_limited_incomplete,cap_limited_incomplete,True,31bbedc7469eb9674d607cb3a6742810db4d7ecc37a1ed290371b984dd67ab4f,0f9e6396defa350d10f71bda32ccf1db2bed26f8de4652e2da0e9d08ed859227,ab6d4ab05e765b6e7e29a84cca31b931d103a746001a0eb4caaf04f802045c1f,prompt_difference
gsm8k_short_test_0029,16,16,8,111,111,16,8,127,156,False,False,14,14,True,True,False,False,False,False,strict_correct,strict_correct,False,13033e7b7437ce12abf5e97fc9a1c9f6a4ed8b1a851123b7de2962d8ed453416,a7f5a1a194e0dded23ebf213c88c5fe45c4c16b88b515d4c0a07bc18cfe93a4e,7339078ffd54b6d26d980a606c85cf375c3baa88fba8226504d43eff4875335f,prompt_difference
gsm8k_short_test_0030,16,16,8,111,111,16,8,103,188,False,False,23,23,True,True,False,False,False,False,strict_correct,strict_correct,False,ce39cdbc3fe99a53b5ac0370cabdddebe48ad97ad7a342ad888a3d8ce646b36b,813521c29062e24efc07064fa56d37819654efee0bd9ecf84e7c616cc8f3d170,8fabc6037a59dee094d7f400b25ce8fd7d0df4853160e574ae8ade19522945cc,prompt_difference
gsm8k_short_test_0031,16,16,8,152,152,16,8,157,256,False,True,145,105,True,False,False,True,False,False,strict_correct,cap_limited_incomplete,True,dc466ad059d5eba5dcc8b2e0d18269a07dc9ba01d03cf6dd641ca00c491d80f4,1872f14335a91da0de318fb0b6fe0aab095ef4ac527ab162a8de7d5046fdf8ab,f359227f555ce1f634d19a5f9b1cf1d3504281e2dd4ba5d9cf0d1710a2981371,prompt_difference
gsm8k_short_test_0032,16,16,8,93,93,16,8,86,172,False,False,123,123,True,True,False,False,False,False,strict_correct,strict_correct,False,fe5015428fba5b2f02aacf23b5d05b23a5c0ab5876b9bd1388bf001b3e3c7fcc,5d5ddbeb3175f7fee413e7c01dcf8d0bdd9e9f5493f212ffe677dd4f564bda8b,da6324bffe8c4c70b908e82829bd79a5125c2ed4358ff0081ab6475b94ba094d,prompt_difference
gsm8k_short_test_0033,16,16,8,79,79,16,8,141,191,False,False,98,98,True,True,False,False,False,False,strict_correct,strict_correct,False,019e36b39b4287aaf68838b1a40c36cfcc64538f801f3d5e855c9e1ec6eb0972,b288be39a21986da505386f1dbbd6392f7c5b487660217769841e4df0b94467a,2ea7f2e1484add0787e2330b33382a15173f192065c139016373409b3821ed67,prompt_difference
gsm8k_short_test_0034,16,16,8,90,90,16,8,153,231,False,False,10.4,7,False,True,True,False,False,False,strict_wrong_numeric,strict_correct,False,082ea795397da92a23cb86b482174347e865e0935b196b112a8a7ddf47423fc9,a2deac45ef06c1ef248b62d6686d23c0f225813976898f2746d8e50fb8bc381a,720df47857c48ee45142aa28ee9dda1a52db378eb6d916ad76d9bf2ddac59a33,prompt_difference
gsm8k_short_test_0035,16,16,8,110,110,16,8,141,256,False,True,34,6,True,False,False,True,False,False,strict_correct,cap_limited_incomplete,True,9938c7d9ad59d1df2f9a41e9832927fa04d59a7e3470d8bdc6c4048c1e429fac,1c9fa2e1fbf5c7fc97bcd64c22a33bc3091793fefa2273b3cd099b280e550ac5,d8406ad34cbf13190ab9be48db4b1516687fab3f1a0a4f7dd4c3adf5d071c0ff,prompt_difference
gsm8k_short_test_0036,16,16,8,125,125,16,8,123,137,False,False,38,38,True,True,False,False,False,False,strict_correct,strict_correct,False,234734d4de6f141f668efb891046e80b46b27a542598e71f2708ba5378971647,53dd58f08bf0ca5bfc8bf0c1fd1b1e4d4c40ca56d8bf27078038bda07b904135,7eb95e7c9d0a9234533e0cade566472fd8c80f061b77ebf248d5f1b990e98031,prompt_difference
gsm8k_short_test_0037,16,16,8,117,117,16,8,113,177,False,False,320,320,True,True,False,False,False,False,strict_correct,strict_correct,False,a71ad09d1605251760ecd9fd5bb9d9dfae368599a570ae3d5c70f1948def7ca3,34adc95d8516d416cf195b04098828d713f9dea728708dc4cad7a1cdae08ecdc,d5c1de720698444a748ac3a06dcdda0f94fd6784c93281d97f9cfff5baba7e38,prompt_difference
gsm8k_short_test_0038,16,16,8,101,101,16,8,97,238,False,False,50,50,True,True,False,False,False,False,strict_correct,strict_correct,False,0e2e03ff573d1067a872bee846a66157e1b959fe3e00437a58cd299388d91e10,7375a79cfce1051a66a6e6b32b7353d2b8697ea344402c1d1118473ac5cd24cc,28242144309d208c3a52f3312d659c5124d3286937724977705d5b04a30e46b3,prompt_difference
gsm8k_short_test_0039,16,16,8,76,76,16,8,74,83,False,False,50,50,True,True,False,False,False,False,strict_correct,strict_correct,False,a4362d2365d62495113d3111c1617352e51d57bf17a33f62d38516ffa39ecfbd,1bfef8b5313495b9aaf4b4d555386428f79cf1b66372e4ad85c87ee9e69735fc,0ba3dbc2824d57e81b125f82b7d719163fa35cedf0d82f431de68dfe32aac382,prompt_difference
gsm8k_short_test_0040,16,16,8,108,108,16,8,91,172,False,False,84,84,True,True,False,False,False,False,strict_correct,strict_correct,False,5cbe49952c12f6632228b4aa0e0c406612bb3832ad3ce8c52a13d7b42e6669de,a9d94fd5acb9fc0ec660673a91235ea7dde5a5ecf287a8124e3a013e5b85a752,a917558a9b8eee645c137cb461aeea9c439cd7f13786ccdda7de5a340d642e7f,prompt_difference
gsm8k_short_test_0041,16,16,8,102,102,16,8,176,179,False,False,50,50,True,True,False,False,False,False,strict_correct,strict_correct,False,fe5828d07384458ccd1568f87fc5c799f2d7191554de9e3e67d16dcdd125b94c,372605ebe771c3f61132be6843bf8eb7a3f913ef5387d656cd720a976c5b072a,c2687bd2f88301609f19d584b45429651322e2b5080c4e37b2cb573c66ce47d7,prompt_difference
gsm8k_short_test_0042,16,16,8,80,80,16,8,96,124,False,False,8000,8000,True,True,False,False,False,False,strict_correct,strict_correct,False,6e0be44da6abdc76b24da07f6086ff8eb0c61338d68f296c724b656f22f0fc20,4d9ea79efbb3edf44906c8054dd6dafe10ad57a773072a1274498c531319fd54,69fa2374853f28163b9e69e08e65aa97cd6f97cefb64d947abbb7dd3643dd261,prompt_difference
gsm8k_short_test_0043,16,16,8,95,95,16,8,62,134,False,False,56,280,False,True,True,False,False,False,strict_wrong_numeric,strict_correct,False,2a0bdd1b3eedb90355eae4576180fea32c59a785237b51747464462d946df0a1,233d020cffe75b9658098b1b385566f767a0a3655d1225897dbce13937b90f60,c1a3eb79bdc0fa0f03aac6e2f443af1849dbbf5db541fc7738e21de2c9741f3a,prompt_difference
gsm8k_short_test_0044,16,16,8,88,88,16,8,70,141,False,False,30,30,True,True,False,False,False,False,strict_correct,strict_correct,False,d4d573add2784d379a93e6b819e45ef6d9d3e5a52ac2147985eb5118aa5f5d5b,181e1d122268dcf264d853a305f44c8dc80aa27b73f84cde1ffddbf273223eb1,fef3c45971d0c620d9709d2241c3972840a9c6194a8d41dddcc96f80be9d5d8c,prompt_difference
gsm8k_short_test_0045,16,16,8,92,92,16,8,116,256,False,True,176,8,False,False,True,True,False,False,strict_wrong_numeric,cap_limited_incomplete,True,afe970e4a4ef1c06d170b8da0ddb878456fd5b67ef55f9ef210545fb1e0d9c92,5cd027c718d53bbd59cac557cfd7a2e70bb35b5576e9320cac6f1d4dbdc70603,0cd21d2dfd1bc0123ac6a5458c7f9aa035156304a68390a493bab885e79acd30,prompt_difference
gsm8k_short_test_0046,16,16,8,105,105,16,8,83,127,False,False,276,276,True,True,False,False,False,False,strict_correct,strict_correct,False,bc86f224e0292a891b969b850f950117ba196caa04c1c84aca668a3294482bf2,28834a0206085afacdf1636678a281a8bf14984536eee372a2c19f9d8a35a1c1,09ea005ce7db711e3087b2296a68a52cf628e94b6d8c80669b1fd405748733dc,prompt_difference
gsm8k_short_test_0047,16,16,8,114,114,16,8,104,170,False,False,32,32,True,True,False,False,False,False,strict_correct,strict_correct,False,ffd744407de182e6c79040c44a2997a71ef003dd32512e2f75c993bf4fcfeaff,ebf1f19d187cd29f43dcc4649044e13b6e845c442e52ebc63e51091a9e311d99,56a520db097371b1b84a4222951f0157059707c9e4bf1cabb699cf4ddb02683d,prompt_difference
gsm8k_short_test_0048,16,16,8,122,122,16,8,183,256,False,True,25,16,True,False,False,True,False,False,strict_correct,cap_limited_incomplete,True,4c2f3d1f004d6edc137c0741c36a8e4339d4d5ed8a8088fdab99468e0f120fbc,274507b9e69182a22513ef8357631c23e058d33615d5c08a64817266951e5864,569ca681867943ad6c6a89e30098f495718e960dbb34327fb8d0f58913c37685,prompt_difference
gsm8k_short_test_0049,16,16,8,103,103,16,8,71,85,False,False,10,10,True,True,False,False,False,False,strict_correct,strict_correct,False,621ff9ecaee4432c6772e85ff928f9d29a956ac142a36a1e8085a596bb42df29,e1d53537ce1edc6bc5765ae8f5c2aba1c6da680f443fa9314169d3522bd026f8,39a6e5d5cd6458a729bd48eb9cad05cbe8f658f7c849cd06a05789fa5e7a7c65,prompt_difference
gsm8k_short_test_0050,16,16,8,100,100,16,8,94,217,False,False,84,84,True,True,False,False,False,False,strict_correct,strict_correct,False,ed98a5a5b2932665174e60b99b6509b9c88fe765518caf3eeb6c1aa62d6b2dc9,ef6e037b024eec3a3b22827e41fa7b6179b7ef7817f1d9f96aaac739df50056e,1826469fc3a9a8c30f7128b36af782a862a07e23960004a7555cd849c8010ed6,prompt_difference
gsm8k_short_test_0051,16,16,8,96,96,16,8,103,132,False,False,147,147,True,True,False,False,False,False,strict_correct,strict_correct,False,f44db3de363e359d992931be113de7b217a510444d5063f1e97c5f6330a73d94,4176e300cfc4e9e378b9e3d263ec3f21b1b5f43325bb1d30d17b7e622b864b25,abe62cb66e5df1461afce6296f7ad7a44d60e8609470ebab6e19fa8517f3e7b8,prompt_difference
gsm8k_short_test_0052,16,16,8,104,104,16,8,119,220,False,False,25,25,True,True,False,False,False,False,strict_correct,strict_correct,False,6328904fcc10a5876828bb723166b59bd170cfc4d147033473444e63b5fe5314,9e1e109b2b907389f9a245001a12da47b5a9afd00d521aca26f8bc7b3ce5776d,882dc9ba463146dcba7b2fe9b3648b182beee5d1bf6d259049bd106105f78f23,prompt_difference
gsm8k_short_test_0053,16,16,8,84,84,16,8,99,136,False,False,1800,1800,True,True,False,False,False,False,strict_correct,strict_correct,False,d5affea62fa044fd7792a3256c8e858c0e1a70928cc03620660a06f1132fe433,71f951818d45fb64d0843bf7bb8490eeca94dff722b794c10b89a400283121dd,f6e9c09a70264579bed5d9ad1ec34a4df83a0d02f77272e6188e48f441c7e9d1,prompt_difference
gsm8k_short_test_0054,16,16,8,78,78,16,8,105,116,False,False,20,20,True,True,False,False,False,False,strict_correct,strict_correct,False,5214052e01506248b730791772652ca6d475eaf40a62a78837f64ddaf92dded1,ee4ef8218805fa42894fa10b145dfdafb50c99cdfcd1897bfa13fb5ea6f10a03,ba339f7e1525c5a61af248f96c6d539d4c04d7ce68c6bc39614971c8271dc9f3,prompt_difference
gsm8k_short_test_0055,16,16,8,88,88,16,8,83,116,False,False,140,140,True,True,False,False,False,False,strict_correct,strict_correct,False,005032ebc360e058ee9486ee22bc3b8a7c25b9399fbd3cc7aabb339e1a542018,a3d0a4b79a5d3e11bb96e171c3f462e0b455c3789bd20edba3fde7a70a284cb5,071eec59385c74f75dcfd55459faea33ae341ff002ce3c3f0ddf5252ab421713,prompt_difference
gsm8k_short_test_0056,16,16,8,126,126,16,8,138,256,False,True,36,400,True,False,False,True,False,False,strict_correct,cap_limited_incomplete,True,f9d32b7140e3b65b72cb100cab4a18d519347f4a27be46cf3a7c9b10adcef019,ef40f5e693b71488e4ab5ffe5be5a205d3fb0ad27f316d49a5c0c061b0d1b052,8b663e94176fc83cba57405207e278d32bb303ff3b4b98e95e07ebb52f3410e4,prompt_difference
gsm8k_short_test_0057,16,16,8,91,91,16,8,133,212,False,False,1,100,True,False,False,True,False,False,strict_correct,strict_wrong_numeric,False,08ed705491803d884e4a3d9d1a14994f4079e4a4bcfb2dfd43d08c6db1caacb5,93019059b51149eeed69284cb886672f75b51aefacc1860bf6084eb9a859530c,2640d12b0738aecf92913c99452bcb7a1408a1f5f3abad3d8ec9fd5547e0e411,prompt_difference
gsm8k_short_test_0058,16,16,8,108,108,16,8,75,141,False,False,1,1,True,True,False,False,False,False,strict_correct,strict_correct,False,f06a5d77afeb4307592db092f57fe6e2a034915cb593b184bd29341d49b4e6d5,dfacd59c45e68dfcb35376f65a7566d0715ac9330fa54b732fcd3fc85854ebd3,8d04b84524d325412fdd7a880d096defa1809fcf65ee38b26d36976295b512ee,prompt_difference
gsm8k_short_test_0059,16,16,8,98,98,16,8,117,212,False,False,50,50,True,True,False,False,False,False,strict_correct,strict_correct,False,36a20a21494055137322933f9d1c8aa7eda78ba4a23156aac9cc9271e046771f,b0799daf12fa738eb92cbccc06df77dee75869706b708b9fc2943f445d9aa99e,940b71079b4bf0d8920b443b9d6480a1a70ddf35343d14216d389a2e0128d89f,prompt_difference
gsm8k_short_test_0060,16,16,8,119,119,16,8,112,221,False,False,860,860,True,True,False,False,False,False,strict_correct,strict_correct,False,01042998ea52b288c99e1513352e735857ec20ea1fbe1af2b0a1453f7214bbd0,7e60e0809ad0e39929cdb0aaf2bb6798e3128adee10e8b8f5e9954536d430034,361bb1b78d4771e432ae6813da2ccce661a9580e4e20e34c18b270327cd756b3,prompt_difference
gsm8k_short_test_0061,16,16,8,118,118,16,8,104,115,False,False,58,58,False,False,True,True,False,False,strict_wrong_numeric,strict_wrong_numeric,False,daee649d1f83fc6c0385dafdc8d503fb08f42e91d68b9062ea7edb09942eb205,29d6e069c686ec292ee81858e26f535ec2bdf11c61935fdd828a9f4189d6c798,916ffd2c6b8c9782f95e45b34693af5b9b03999811f4bba9c3bebcb13700673a,prompt_difference
gsm8k_short_test_0062,16,16,8,119,119,16,8,194,224,False,False,23,23,True,True,False,False,False,False,strict_correct,strict_correct,False,7a0f720fea650dfb9990a5c05c7471d05c1cb6e34447a53b1cee8015ed631a47,64d4e330420671306dbda10f57a50ec54d1b81859ef724f2756e6737c5c84453,a103aa935e5ce62d13cb830ac2c934dbca23f37dbe6f0dbb102ef1eb672179a4,prompt_difference
gsm8k_short_test_0063,16,16,8,100,100,16,8,103,146,False,False,350,350,True,True,False,False,False,False,strict_correct,strict_correct,False,dadd96bbdeb017e00e4e84f6cb8a77edfcb3e266659c447df51b1e1351f7bc8e,d314ccddf96dd1e6e7bc54fcc1ad99bf3bb0bcbb5ecd8f368fd149c1a9d5dfc5,66b8869c9d3f4106c7678612a5d760c1b56156096965fcf9134fe0faf747eb79,prompt_difference
gsm8k_short_test_0064,16,16,8,123,123,16,8,166,195,False,False,100,100,True,True,False,False,False,False,strict_correct,strict_correct,False,21cad3b483cfeb685d597747fac7b9443d4707e40ad89b8b9429fb9c96117040,f319f23ff29a2e9942f35ae839f4aae625e3768ce206380deac9f26927771995,a9e99482669ffd87aedd86e93c489c7744ef77cfde1197ecb7f89445445d9f55,prompt_difference
gsm8k_short_test_0065,16,16,8,69,69,16,8,61,78,False,False,133,133,True,True,False,False,False,False,strict_correct,strict_correct,False,f41906caf90fb9885a23efdd27f71eb856805c1046efd759af1a606c03e7fb5f,61f22d33cfc07077f339dc21c93ab8016ef0ca01d574b560f8f46465f201fe6d,92ec968b582414b3deb772856e82c93e65c32f0c9ea07e45abdb753c52c5a1b0,prompt_difference
gsm8k_short_test_0066,16,16,8,121,121,16,8,108,256,False,True,112,48,True,False,False,True,False,False,strict_correct,cap_limited_incomplete,True,53c88612f29287dea8019f2490ff929b3b58f1c41153a5707ee5badedb53ede6,31e528b2a572532f9c2d7372cad0afdf47d4fda49d3b36ad5319c71a9e6a1477,0111ea5bea22e38efe10023abe60e67009e6590c49cf29af0af0fb4c66c4da4b,prompt_difference
